,assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed,realtimeEntitled,assetSubType
AA,EQUITY,EQUITY,013872106,AA,Alcoa Corporation Common Stock,37.9,100,P,38.36,7300,P,37.92,100,N,37.44,38.5,37.13, ,37.92,0.0,7338025,1625270400081,1625270082690,37.92,n,NYSE,True,True,0.0224,2,44.42,10.4314,0.0,0.0,0.0,0.0,,Normal,37.92,1720,0.0,1625266800001,0.0,0.0,0.0,0.0,True,False,
AAC,EQUITY,EQUITY,G33032106,AAC,Ares Acquisition Corporation Class A Ordinary Shares,9.65,100,P,10.0,2400,P,9.75,400,N,9.76,9.76,9.74, ,9.75,0.0,72811,1625270400459,1625266800002,9.75,n,NYSE,True,True,0.0482,2,10.0,9.5,0.0,0.0,0.0,0.0,,Normal,9.75,4,0.0,1625266800002,0.0,0.0,0.0,0.0,True,False,
AACG,EQUITY,EQUITY,00211V106,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common",2.83,1000,P,3.0,5500,Q,2.83,0,D,2.99,2.99,2.84, ,2.88,-0.05,44492,1625264672828,1625259332707,2.88,q,NASD,True,True,0.2716,4,19.75,1.01,0.0,0.0,0.0,0.0,,Normal,2.88,6,0.0,1625256000673,-1.7361,0.0,0.0,0.0,True,False,ADR
AACQ,EQUITY,EQUITY,04316G105,AACQ,Symbol not found,0.0,0, ,0.0,0, ,0.0,0, ,0.0,0.0,0.0, ,0.0,0.0,0,0,0,0.0,?,unavailable,False,False,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,,Unknown,0.0,0,0.0,0,0.0,0.0,0.0,0.0,False,True,
AAIC,EQUITY,EQUITY,041356205,AAIC,Arlington Asset Investment Corp Class A (new),3.93,0, ,4.21,200,P,4.02,0,N,4.07,4.09,4.0, ,4.02,0.0,124977,1625270400081,1625268274228,4.02,n,NYSE,True,True,0.12090000000000001,2,4.42,2.38,0.0,8.1702,0.0,0.0,,Normal,4.02,28,0.0,1625266800004,0.0,0.0,0.0,0.0,True,False,
AAL,EQUITY,EQUITY,02376R102,AAL,"American Airlines Group, Inc. - Common Stock",21.43,1700,P,21.47,100,Q,21.47,500,D,21.615,21.65,21.11, ,21.48,-0.01,20867943,1625270393243,1625270393319,21.48,q,NASD,True,True,0.019200000000000002,4,26.09,10.63,0.0,0.0,0.0,0.0,,Normal,21.48,4273,0.0,1625256000991,-0.0466,0.0,0.0,0.0,True,False,
AAMC,EQUITY,EQUITY,02153X108,AAMC,Altisource Asset Management Corp Com,18.0,0, ,19.29,100,A,19.15,100,A,19.1,19.15,19.1, ,19.15,0.0,1878,1625268523047,1625270400006,19.15,a,AMEX,True,True,0.133,4,31.24,12.51,0.0,0.0,0.0,0.0,,Normal,19.15,1,0.0,1625270400006,0.0,0.0,0.0,0.0,True,False,
AAME,EQUITY,EQUITY,048209100,AAME,Atlantic American Corporation - Common Stock,4.16,100,P,4.58,1000,P,4.49,0,P,4.4,4.46,4.2101, ,4.39,0.1,26483,1625265696981,1625260792380,4.39,q,NASD,False,False,0.3528,4,15.97,1.58,0.0,4.7421,0.02,0.46,2021-04-12 00:00:00.000,Normal,4.39,2,0.0,1625256000611,2.2779,0.0,0.0,0.0,True,False,
AAN,EQUITY,EQUITY,00258W108,AAN,"Aarons Holdings Company, Inc. Common Stock",31.8,0, ,68.0,100,T,32.34,18700,N,32.31,33.0,31.83, ,32.34,0.0,173225,1625270400081,1625266800002,32.34,n,NYSE,True,True,0.0859,2,37.49,16.2,0.0,0.0,0.4,1.24,2021-06-16 00:00:00.000,Normal,32.34,187,0.0,1625266800002,0.0,0.0,0.0,0.0,True,False,
AAOI,EQUITY,EQUITY,03823U102,AAOI,"Applied Optoelectronics, Inc. - Common Stock",8.3,100,Q,8.41,1000,P,8.355,0,D,8.47,8.5,8.29, ,8.39,-0.035,326162,1625259580255,1625262353978,8.39,q,NASD,True,True,0.09090000000000001,4,17.57,6.75,0.0,0.0,0.0,0.0,,Normal,8.39,90,0.0,1625256000603,-0.4172,0.0,0.0,0.0,True,False,
AAON,EQUITY,EQUITY,000360206,AAON,"AAON, Inc. - Common Stock",30.36,100,K,65.0,200,Q,63.14,0,D,62.92,63.63,62.27, ,63.14,0.0,178354,1625256629450,1625257033095,63.14,q,NASD,True,True,0.0747,4,81.25,52.8,0.0,45.7314,0.38,0.6000000000000001,2021-06-02 00:00:00.000,Normal,63.14,180,0.0,1625256000915,0.0,0.0,0.0,0.0,True,False,
AAP,EQUITY,EQUITY,00751Y106,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,210.5,500,P,211.5,500,P,211.05,0,N,208.93,211.16,208.22, ,211.05,0.0,522265,1625264360693,1625268967617,211.05,n,NYSE,True,True,0.026000000000000002,2,211.16,131.9,0.0,22.6222,4.0,1.9,2021-06-17 00:00:00.000,Normal,211.05,424,0.0,1625266800005,0.0,0.0,0.0,0.0,True,False,
